dataflow_id,title,tier,exists,dimension_count,dimensions,error
IPC-2025,Indices des prix à la consommation,MVP,True,13,TIME_PERIOD | FREQ | INDICATEUR | FORME-VENTE | COICOP2018 | PRIX_CONSO | NATURE | MENAGES_IPC | REF_AREA | UNIT_MEASURE | CORRECTION | BASIND | SERIE_ARRETEE,
IPCH-2025,Indices des prix à la consommation harmonisés,MVP,True,10,TIME_PERIOD | FREQ | INDICATEUR | COICOP2018 | NATURE | REF_AREA | UNIT_MEASURE | CORRECTION | BASIND | SERIE_ARRETEE,
CHOMAGE-TRIM-NATIONAL,"Chômage, taux de chômage par sexe et âge (sens BIT)",MVP,True,10,TIME_PERIOD | FREQ | INDICATEUR | NATURE | REF_AREA | SEXE | AGE | UNIT_MEASURE | CORRECTION | SERIE_ARRETEE,
EMPLOI-BIT-TRIM,"Activité, emploi, sous-emploi au sens du BIT et autres indicateurs",MVP,True,10,TIME_PERIOD | FREQ | INDICATEUR | NATURE | REF_AREA | SEXE | AGE | UNIT_MEASURE | CORRECTION | SERIE_ARRETEE,
EMPLOI-SALARIE-TRIM-NATIONAL,Estimations d'emploi salarié par secteur d'activité,MVP,True,10,TIME_PERIOD | FREQ | INDICATEUR | NAF2 | NAF2_RGP | NATURE | REF_AREA | UNIT_MEASURE | CORRECTION | SERIE_ARRETEE,
DEMANDES-EMPLOIS-NATIONALES,Demandeurs d'emploi inscrits à Pôle Emploi,MVP,True,14,TIME_PERIOD | FREQ | INDICATEUR | NATURE | METIER | DEMANDEURS_EMPLOI | DIPLOME | REF_AREA | SEXE | AGE | ANCIENNETE | UNIT_MEASURE | CORRECTION | SERIE_ARRETEE,
NAISSANCES-FECONDITE,Naissances et fécondité,MVP,True,10,TIME_PERIOD | FREQ | INDICATEUR | NATURE | DEMOGRAPHIE | REF_AREA | AGE | UNIT_MEASURE | CORRECTION | SERIE_ARRETEE,
POPULATION-STRUCTURE,Population et structure de la population,MVP,True,11,TIME_PERIOD | FREQ | INDICATEUR | NATURE | DEMOGRAPHIE | REF_AREA | SEXE | AGE | UNIT_MEASURE | CORRECTION | SERIE_ARRETEE,
DECES-MORTALITE,Décès et mortalité,MVP,True,11,TIME_PERIOD | FREQ | INDICATEUR | NATURE | DEMOGRAPHIE | REF_AREA | SEXE | AGE | UNIT_MEASURE | CORRECTION | SERIE_ARRETEE,
CREATIONS-ENTREPRISES-METHODE-2022,Créations d'entreprises - Méthode 2022,MVP,True,11,TIME_PERIOD | FREQ | EUROSTAT_CREATIONS_ENTREPRISES | INDICATEUR | ACTIVITE_CREAT_ENT | NATURE | TYPE-ENT | REF_AREA | UNIT_MEASURE | CORRECTION | SERIE_ARRETEE,
ODD-ERADICATION-PAUVRETE,Objectif de développement durable n°1 : Éradication de la pauvreté,SPECIALIZED,True,14,TIME_PERIOD | FREQ | INDICATEUR | INDICATEUR-ODD | ACTIVITE-ODD | NATURE | METIER-ODD | REF_AREA | SEXE | AGE | UNIT_MEASURE | CORRECTION | NIVEAU-VIE-MEDIAN-ODD | UNITE-CONSOMMATION-ODD,
TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,TCRED - Taux de pauvreté selon l'âge,SPECIALIZED,True,8,TIME_PERIOD | FREQ | INDICATEUR | NATURE | REF_AREA | AGE | UNIT_MEASURE | CORRECTION,
TCRED-ESTIMATIONS-POPULATION,TCRED - Estimations de population,SPECIALIZED,True,9,TIME_PERIOD | FREQ | INDICATEUR | NATURE | REF_AREA | SEXE | AGE | UNIT_MEASURE | CORRECTION,
TCRED-ECONOMIE-PIB-REG,TCRED - Produits intérieurs bruts,SPECIALIZED,True,7,TIME_PERIOD | FREQ | INDICATEUR | NATURE | REF_AREA | UNIT_MEASURE | CORRECTION,
TCRED-EMPLOI-SALARIE-TRIM,Estimations d'emploi salarié par secteur d'activité,SPECIALIZED,True,9,TIME_PERIOD | FREQ | INDICATEUR | NAF2 | NATURE | REF_AREA | UNIT_MEASURE | CORRECTION | SERIE_ARRETEE,
TCRED-SALAIRES-REVENUS-MEN,TCRED - Revenus disponibles des ménages,SPECIALIZED,True,7,TIME_PERIOD | FREQ | INDICATEUR | NATURE | REF_AREA | UNIT_MEASURE | CORRECTION,
TCRED-SALAIRES-REVENUS-REV-SAL-SEXE-CS,TCRED - Revenu salarial annuel moyen selon la catégorie socioprofessionnelle et le sexe,SPECIALIZED,True,9,TIME_PERIOD | FREQ | INDICATEUR | NATURE | METIER | REF_AREA | SEXE | UNIT_MEASURE | CORRECTION,
TCRED-ENTREPRISES-EMP-SAL-AN-TAILLE,TCRED - Effectif salarié par catégorie d'entreprise,SPECIALIZED,True,9,TIME_PERIOD | FREQ | INDICATEUR | NATURE | REF_AREA | ENTREPRISE | UNIT_MEASURE | CORRECTION | SUPPRESSION-SERIES,
IPGD-2015,Indice des prix dans la grande distribution,SPECIALIZED,True,10,TIME_PERIOD | FREQ | INDICATEUR | FORME-VENTE | PRIX_CONSO | NATURE | REF_AREA | UNIT_MEASURE | CORRECTION | BASIND,
IPC-PM-2015,Prix moyens de vente de détail,SPECIALIZED,True,9,TIME_PERIOD | FREQ | INDICATEUR | PRIX_CONSO | NATURE | REF_AREA | UNIT_MEASURE | CORRECTION | SERIE_ARRETEE,
IPPI-2021,Indices de prix de production et d'importation dans l'industrie,SPECIALIZED,True,12,TIME_PERIOD | FREQ | EUROSTAT_IPPI | INDICATEUR | PRODUIT_DETAILLE_IPPI | PRODUIT_IPPI | NATURE | REF_AREA | UNIT_MEASURE | CORRECTION | BASIND | SERIE_ARRETEE,
IPAGRI-BASE-2020,Indices des prix dans l'agriculture,SPECIALIZED,True,11,TIME_PERIOD | FREQ | INDICATEUR | IPAGRI | PRODUITS_IPAGRI_2020 | NATURE | REF_AREA | UNIT_MEASURE | CORRECTION | BASIND | SERIE_ARRETEE,
ENQ-CONJ-MENAGES,Conjoncture auprès des ménages,SPECIALIZED,True,9,TIME_PERIOD | FREQ | INDICATEUR | QUESTIONS_CAMME | NATURE | REF_AREA | UNIT_MEASURE | CORRECTION | SERIE_ARRETEE,
